id,zh,en
4043,在新全球经济的精英和“知识工人”中间，已经产生出默示的跨国“阶级”忠诚。这种忠诚由于在意识形态上亲近新自由主义正统经济理论而得到巩固。,"Among the elites and ""knowledge workers"" of the new global economy tacit transnational ""class"" allegiances have evolved, cemented by an ideological attachment to a neoliberal economic orthodoxy."
4043,对于那些现在处于边缘的人来说，消费主义意识形态在全世界的扩散也强加给他们一种新的认同感，替代了传统文化和生活方式。,"For those who are currently marginalized, the worldwide diffusion of a consumerist ideology also imposes a new sense of identity, displacing traditional cultures and ways of life."
4043,自由民主在全球的扩展进一步强化了正在出现一种全球文明的感觉，这种文明的标志是经济政治组织的普遍标准。,The global spread of liberal democracy further reinforces the sense of an emerging global civilization defined by universal standards of economic and political organization.
4044,"最近关于世界体系和文明互动模式的历史研究对一个被普遍接受的观点提出了质疑。这个观点认为全球化首先是现代的现象（McNeill, 1995; Roudometof 和 Robertson, 1995; Bentley, 1996; Frank 和 Gills, 1996），中世纪出现的世界宗教和贸易网络便人们对这样一种观点更加敏感，它认为全球化是一个历史悠久的过程。","Recent historical studies of world systems and of patterns of civilizational interaction bring into question the commonly accepted view that globalization is primarily a phenomenon of the modern age (McNeill, 1995; Roudometof and Robertson, 1995; Bentley, 1996; Frank and Gills, 1996).The existence of world religions and the trade networks of the medieval era encourage a greater sensitivity to the idea that globalization is a process which has a long history."
4044,这意味着要解释当代全球化的全新特征，需要使视野超越现代。,This implies the need to look beyond the modern era in any attempt to offer an explanation of the novel features of contemporary globalization.
4045,总的说来，在当时，宗族和父系家族是中国社会上下层之间联系的唯一主要的纽带。,"By and large then, the clan and patrilineal lineage emerge as the only important link between the upper and lower strata in Chinese society."
4045,正因如此，它们的重要性不能低估。虽然象我们以后将要说到的，宗族还是起着双重的作用：它作为重要的工具使叛乱分子集合在了一起。,"As such their importance should not be underestimated, though, as will appear in due course, the clan was double edged: it could also serve as the key mechanism holding rebellious groups together."
4046,海因里希•希姆莱和党卫军是阿道夫•希特勒的种族主义意识形态的忠实信奉者。,Heinrich Himmler and the SS organization shared Adolf Hitler’s racial ideology.
4046,党卫军肩负着纳粹党所称的最终解决犹太问题的责任，这就是，要彻底消灭犹太人。,"The SS was given responsibility for what the Nazis called their Final Solution to the Jewish problem, the annihilation of the Jews."
4046,莱因哈特•海因里希(1904-1942)是党卫军安全部门的首领，他受命负责最终解决的具体实施。,"Reinhard Heydrich (1904--1942), head of the SS’s Security Service, was given administrative responsibility for the Final Solution."
4046,在波兰被击败之后，海因里希命令他组建的党卫军持别行动队将所有的波兰犹太人都围捕起来，并将其集中在若干个城市中的犹太人区中。,"After the defeat of Poland, Heydrich ordered the special strike forces (Einsatzgruppen) that he had created to round up all Polish Jews and concentrate them in ghettos established in a number of Polish cities."
4047,反过来，这改变着全球体系内军事技术权力的分层。,This in turn is transforming the stratification of military-technological power within the global system.
4047,因为这些处于商业技术革新前沿的国家和公司不再完全等同于现在的军事强国和军事工业公司。,For the cohort of states and corporations at the leading edge of commercial technological innovation is no longer entirely synonymous with the cohort of today's great military powers or military-industrial corporations.
4047,从这个方面来看，我们应当从下面这个事实受到启发：在1989年，美国38%的军事半导体是进口的，五角大楼“如果没有3家日本公司的帮助，无法将其导弹和飞机升入天空，因为这3家公司提供了95%的陶瓷管壳来保护其电子”（OAT，1991，第38页；Economist Intelligence Unit，1994，第18页）。,"In this respect, it is instructive to note that in 1989 38 per cent of US military semiconductors were imported while the Pentagon 'cannot put a single missile or aircraft up in the sky without the help of three Japanese companies that provide 95 per cent of the ceramic packages that protect their electronics' (OTA, 1991, p. 38; Economist Intelligence Unit, 1994, p. 18)."
4048,但是，与美国的联盟关系继续制约着日本生产什么以及怎样生产，并且也制约着日本更全面的防卫立场。,"The alliance relationship with the US, however, continues to constrain both how and what Japan produces as well as its more general defence posture."
4048,因此，三菱公司与标准动力公司之间的 “日-美先进战机”（FSX）合作的提高部分原因是，美国害怕日本独立发展驱逐舰的能力。,Thus the FSX fighter collaboration between Mitsubishi and General Dynamics arose in part because of US fears of an indigenous independent fighter capability in Japan.
4048,武器出口贸易为日本宪法第九款所禁止，但它不适用于与防卫相关的两用设备。,"Arms exports remain prohibited by Article 9 of the Japanese constitution, but this does not apply to defence-related dual-use equipment."
4049,"在1851年的万国工业博览会之后，英国获得了恩菲尔德军械厂（待建中）所需的美国先进的生产技术和机器设备，到1863年，它每年生产10.37万支来福枪 (McNeill, 1982，第233页-235页）。","Following the Great Exhibition in 1851, Britain acquired American advanced production techniques and machinery specifically for the (yet to be constructed) Enfield armoury and by 1863 it was producing 100,370 rifles per annum (McNeill, 1982, pp. 233-5)."
4049,到1870年欧洲的其他国家也达到了这个水平。,By 1870 the rest of Europe was doing the same.
4049,工业资本主义正促进着军事生产能力和与军事相关的技术的大幅扩散与传播。,Industrial capitalism was contributing to a significant diffusion of military productive capability as well as military-related technology.
4050,北宋建立后为了加强对地方的控制，改变唐末以来地方权力过大的现状，对地方体制进行了变动。,"The local government had more and more power since late Tang Dynasty.In order to change this situation and keep control over the local government, rulers of Northern Song Dynasty made great changes to the local administrative system."
4050,"逐步取消节度使的财政、军事、司法权力，同时在地方采取中央派出机构来管理地方的模式，将全国划分为若干路，形成了以转运使司、提点刑狱司、提举常平司、安抚使司为主的路级机构，除安抚使由所在路的首州知州兼任外，其他三司号称""监司""，作为中央的派出机构，代表中央管理地方，加强了中央对地方的控制。","As a result, Jiedushi\'s power in finance, military affairs and judicature was weakened."
4050,在中国地方行政机构从二级制向三级制的转变中起着承上启下的作用。,"At the same time, a new government system was set up, according to which the whole country was divided into a number of lu\'s, and each was to be administered by a zhuanyunshisi, a tidianxingyushi, a tijuchangpingshi and an anfushi (or pacifier)."
4051,"""八纮""一词原出自我国古籍，意指四方四隅。","The term ""eight directions"" originates from Chinese ancient books, meaning ""eight crown cords""."
4051,在日本则出自《日本书记》。,"In Japan, it comes from the chronicle ‘Nihon Shoki'."
4051,"在所谓神武天皇建都诏书中说:""兼六合以开都，掩八纮而为宇""。","The edict of the Emperor Jimmu reads: ""Hakkō wo ooute ie to nasan""."
4051,"1903年田中智学把这句话概括为""八纮一宇""，字面上与""四海一家""同义，实则要求由日本独霸全世界。","In 1903, Tanaka Zhixue summarized this sentence as ""Hakkō Ichiu"", literally synonymous with ""Four Seas and One Family"".In fact, it requires Japan to dominate the world."
