id,zh,en
8086,运动能够直接造成能量负平衡，或者通过加强食物的热量生成、加速安静代谢率和（或）减少食物摄取达到能量负平衡。,"Exercise induces negative energy balance either directly or by enhancing meal thermogenesis, increasing resting metabolic rate, and/or decreasing food intake."
8086,然而，运动本身的能量消耗很小，食物的热效应也可忽略不计。,"However, energy cost of exercise per se is minimal, and thermic effect of food is negligible."
8086,"因此，运动训练结合低卡路里饮食可能有益，因为这种结合有助于保持较高的安静代谢率和去脂肪体重（Calles-Escandon & Horton,1992）。","Exercise training may be advantageous in conjunction with a low calorie diet because it helps to maintain resting metabolic rate and fat-free mass (Calles-Escandon & Horton, 1992)."
8087,测试安静能量消耗（REE)通常是在晨起后进行，测试前必须没有进行中等或大强度的活动。,Resting energy expenditure is normally measured in the morning after waking up without moderate or intense physical activity before the measurement is taken.
8087,测试必须在测试前夜间不进食的条件下，在室温适度的环境中卧位完成。,"The measurement has to be done after an overnight fast, in a thermoneutral environment in the supine position."
8087,"如果没有合适的测试仪器，可以使用按不同年龄范围校正的各种预测公式来计算安静能量消耗（FA0/WH0/UNU, 1985)。","If appropriate equipment is not available the REE can be calculated with the use of prediction formulae which are adjusted for the different age ranges (FAO/WHO/UNU, 1985)."
8088,奥林匹克理想的三根支柱是体育、文化和尊重。,"The three pillars of Ihe Olympic ideal are sport, culture and respect."
8088,奥林匹克的五大价值观则是:体育道德、教育、超越自我、团结、和平和快乐。,The five Olympic values are: sportsmanship; education; exceeding one’s expectations; solidarity; and peace and happiness.
8088,为奥林匹克理想服务的人们，肩负着将这些理想不断推向前进的使命，这是奥运会特许经营组织赖以存在的永恒不变的根基。,Those who serve it are charged with advancing that agenda.These values are the foundations upon which the Olympic franchise is based.They are immutable.
8088,运动员们付出自己生命中宝贵的时间来追随奥林匹克理想，原因也正在于此。,They are the reason why athletes are prepared to dedicate years of their lives to pursuing the Olympic dream.
8088,运动员们达到奥林匹克理想的努力成为一种精彩，而我们其他人也和他们一样，在此过程中得到提升。,"And we, like them, are elevated by the spectacle of their endeavour as they strive to live up to the Olympic ideals."
8088,这一点永远不能改变。,That must never change.
8089,这位领导人的讲话，延续了奥运会发展历史上的一个传统。在过去100年里，美国总统罗纳德·里根、比尔·克林顿、乔治·W·布什；大不列颠王国国王乔治六世、女王伊丽莎白二世；西班牙国王胡安·卡洛斯；法国总统密特朗；前苏联主席勃列日涅夫；还有日本裕仁和明仁天皇，都曾经宣布过这一全世界最大规模体育盛会的开幕。,"Jintao's speech follows in a tradition.Over the last century, American Presidents Reagan, Clinton, and George W Bush; along with King George VI and Oueen Elizabeth II of Great Britain; King Juan Carlos of Spain; President Mitterand of France; President Brezhnev of the Soviet Union; and Emperors Hirohito and Akihito of Japan have all opened the world’s greatest sporting festival.As the speech concludes, the Olympic cauldron is ignited."
8089,奥运火炬被点燃了，对于中国来说，这个光彩夺目的盛会将牢固地奠定自己在世界舞台上的地位，现在它正式开始了。,"China’s spectacular party, firmly establishing its position on the world stage, can officially begin."
